transaction_id,customer_id,transaction_ts,amount,merchant,merchant_category,country,payment_type,status
TXN5600,CUST009,2024-01-05 04:24:00,17545.91,Uber,TRAVEL,IN,WALLET,FAILED
TXN5601,CUST029,2024-01-05 16:01:00,8191.24,Swiggy,FOOD,IN,CARD,FAILED
TXN5602,CUST037,2024-01-05 21:31:00,8812.01,Bet365,GAMBLING,IN,UPI,FAILED
TXN5603,CUST047,2024-01-05 22:20:00,15122.25,Netflix,ENTERTAINMENT,IN,UPI,SUCCESS
TXN5604,CUST019,2024-01-05 04:14:00,13873.97,Swiggy,FOOD,IN,WALLET,SUCCESS
TXN5605,CUST025,2024-01-05 04:35:00,8744.06,Swiggy,FOOD,IN,UPI,SUCCESS
TXN5606,,2024-01-05 18:35:00,6820.96,Binance,CRYPTO,IN,WALLET,FAILED
TXN5607,CUST042,2024-01-05 10:03:00,3455.28,Flipkart,ECOMMERCE,IN,CARD,SUCCESS
TXN5608,CUST035,2024-01-05 09:07:00,11216.02,Uber,TRAVEL,IN,CARD,SUCCESS
TXN5609,CUST031,2024-01-05 20:35:00,25423.92,Bet365,GAMBLING,IN,UPI,SUCCESS
TXN5610,CUST021,2024-01-05 03:19:00,16066.26,Netflix,ENTERTAINMENT,IN,UPI,FAILED
TXN5611,CUST002,2024-01-05 16:33:00,18009.39,Bet365,GAMBLING,IN,CARD,FAILED
TXN5612,CUST033,2024-01-05 00:36:00,17836.22,MakeMyTrip,TRAVEL,IN,WALLET,SUCCESS
TXN5613,CUST020,2024-01-05 21:24:00,338.87,Bet365,GAMBLING,IN,WALLET,SUCCESS
TXN5614,CUST024,2024-01-05 18:54:00,7954.74,MakeMyTrip,TRAVEL,IN,UPI,FAILED
TXN5615,CUST014,2024-01-05 11:30:00,18041.27,MakeMyTrip,TRAVEL,IN,UPI,FAILED
TXN5616,,2024-01-05 05:51:00,22300.65,Flipkart,ECOMMERCE,IN,WALLET,SUCCESS
TXN5617,CUST033,2024-01-05 02:17:00,6804.06,Swiggy,FOOD,IN,UPI,FAILED
TXN5618,CUST012,2024-01-05 02:34:00,17313.08,Swiggy,FOOD,IN,WALLET,SUCCESS
